,codigo_def,categorias
297,D86,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad "
298,D89,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad "
299,E00,"Enfermedades endocrinas, nutricionales y metabólicas "
300,E01,"Enfermedades endocrinas, nutricionales y metabólicas "
301,E03,"Enfermedades endocrinas, nutricionales y metabólicas "
302,E04,"Enfermedades endocrinas, nutricionales y metabólicas "
303,E05,"Enfermedades endocrinas, nutricionales y metabólicas "
304,E06,"Enfermedades endocrinas, nutricionales y metabólicas "
305,E07,"Enfermedades endocrinas, nutricionales y metabólicas "
306,E10,"Enfermedades endocrinas, nutricionales y metabólicas "
307,E11,"Enfermedades endocrinas, nutricionales y metabólicas "
308,E12,"Enfermedades endocrinas, nutricionales y metabólicas "
309,E13,"Enfermedades endocrinas, nutricionales y metabólicas "
310,E14,"Enfermedades endocrinas, nutricionales y metabólicas "
311,E15,"Enfermedades endocrinas, nutricionales y metabólicas "
312,E16,"Enfermedades endocrinas, nutricionales y metabólicas "
313,E20,"Enfermedades endocrinas, nutricionales y metabólicas "
314,E21,"Enfermedades endocrinas, nutricionales y metabólicas "
315,E22,"Enfermedades endocrinas, nutricionales y metabólicas "
316,E23,"Enfermedades endocrinas, nutricionales y metabólicas "
317,E24,"Enfermedades endocrinas, nutricionales y metabólicas "
318,E25,"Enfermedades endocrinas, nutricionales y metabólicas "
319,E26,"Enfermedades endocrinas, nutricionales y metabólicas "
320,E27,"Enfermedades endocrinas, nutricionales y metabólicas "
321,E28,"Enfermedades endocrinas, nutricionales y metabólicas "
322,E30,"Enfermedades endocrinas, nutricionales y metabólicas "
323,E31,"Enfermedades endocrinas, nutricionales y metabólicas "
324,E32,"Enfermedades endocrinas, nutricionales y metabólicas "
325,E34,"Enfermedades endocrinas, nutricionales y metabólicas "
326,E40,"Enfermedades endocrinas, nutricionales y metabólicas "
327,E41,"Enfermedades endocrinas, nutricionales y metabólicas "
328,E42,"Enfermedades endocrinas, nutricionales y metabólicas "
329,E43,"Enfermedades endocrinas, nutricionales y metabólicas "
330,E44,"Enfermedades endocrinas, nutricionales y metabólicas "
331,E45,"Enfermedades endocrinas, nutricionales y metabólicas "
332,E46,"Enfermedades endocrinas, nutricionales y metabólicas "
333,E50,"Enfermedades endocrinas, nutricionales y metabólicas "
334,E51,"Enfermedades endocrinas, nutricionales y metabólicas "
335,E52,"Enfermedades endocrinas, nutricionales y metabólicas "
336,E53,"Enfermedades endocrinas, nutricionales y metabólicas "
337,E55,"Enfermedades endocrinas, nutricionales y metabólicas "
338,E56,"Enfermedades endocrinas, nutricionales y metabólicas "
339,E61,"Enfermedades endocrinas, nutricionales y metabólicas "
340,E63,"Enfermedades endocrinas, nutricionales y metabólicas "
341,E64,"Enfermedades endocrinas, nutricionales y metabólicas "
342,E66,"Enfermedades endocrinas, nutricionales y metabólicas "
343,E67,"Enfermedades endocrinas, nutricionales y metabólicas "
344,E70,"Enfermedades endocrinas, nutricionales y metabólicas "
345,E71,"Enfermedades endocrinas, nutricionales y metabólicas "
346,E72,"Enfermedades endocrinas, nutricionales y metabólicas "
347,E74,"Enfermedades endocrinas, nutricionales y metabólicas "
348,E75,"Enfermedades endocrinas, nutricionales y metabólicas "
349,E76,"Enfermedades endocrinas, nutricionales y metabólicas "
350,E77,"Enfermedades endocrinas, nutricionales y metabólicas "
351,E78,"Enfermedades endocrinas, nutricionales y metabólicas "
352,E79,"Enfermedades endocrinas, nutricionales y metabólicas "
353,E80,"Enfermedades endocrinas, nutricionales y metabólicas "
354,E83,"Enfermedades endocrinas, nutricionales y metabólicas "
355,E84,"Enfermedades endocrinas, nutricionales y metabólicas "
356,E85,"Enfermedades endocrinas, nutricionales y metabólicas "
357,E86,"Enfermedades endocrinas, nutricionales y metabólicas "
358,E87,"Enfermedades endocrinas, nutricionales y metabólicas "
359,E88,"Enfermedades endocrinas, nutricionales y metabólicas "
360,F01,Trastornos mentales
361,F03,Trastornos mentales
362,F04,Trastornos mentales
363,F05,Trastornos mentales
364,F06,Trastornos mentales
365,F07,Trastornos mentales
366,F09,Trastornos mentales
367,F10,Trastornos mentales
368,F11,Trastornos mentales
369,F12,Trastornos mentales
370,F13,Trastornos mentales
371,F14,Trastornos mentales
372,F16,Trastornos mentales
373,F17,Trastornos mentales
374,F18,Trastornos mentales
375,F19,Trastornos mentales
376,F20,Trastornos mentales
377,F21,Trastornos mentales
378,F22,Trastornos mentales
379,F23,Trastornos mentales
380,F25,Trastornos mentales
381,F28,Trastornos mentales
382,F29,Trastornos mentales
383,F30,Trastornos mentales
384,F31,Trastornos mentales
385,F32,Trastornos mentales
386,F33,Trastornos mentales
387,F34,Trastornos mentales
388,F38,Trastornos mentales
389,F39,Trastornos mentales
390,F40,Trastornos mentales
391,F41,Trastornos mentales
392,F42,Trastornos mentales
393,F43,Trastornos mentales
394,F44,Trastornos mentales
395,F45,Trastornos mentales
396,F48,Trastornos mentales
397,F50,Trastornos mentales
398,F51,Trastornos mentales
399,F60,Trastornos mentales
400,F62,Trastornos mentales
401,F65,Trastornos mentales
402,F66,Trastornos mentales
403,F68,Trastornos mentales
404,F70,Trastornos mentales
405,F71,Trastornos mentales
406,F72,Trastornos mentales
407,F73,Trastornos mentales
408,F78,Trastornos mentales
409,F79,Trastornos mentales
410,F82,Trastornos mentales
411,F84,Trastornos mentales
412,F89,Trastornos mentales
413,F99,Trastornos mentales
414,G00,Enfermedades del sistema nervioso y de los órganos de los sentidos  
415,G03,Enfermedades del sistema nervioso y de los órganos de los sentidos  
416,G04,Enfermedades del sistema nervioso y de los órganos de los sentidos  
417,G06,Enfermedades del sistema nervioso y de los órganos de los sentidos  
418,G08,Enfermedades del sistema nervioso y de los órganos de los sentidos  
419,G09,Enfermedades del sistema nervioso y de los órganos de los sentidos  
420,G10,Enfermedades del sistema nervioso y de los órganos de los sentidos  
421,G11,Enfermedades del sistema nervioso y de los órganos de los sentidos  
422,G12,Enfermedades del sistema nervioso y de los órganos de los sentidos  
423,G20,Enfermedades del sistema nervioso y de los órganos de los sentidos  
424,G21,Enfermedades del sistema nervioso y de los órganos de los sentidos  
425,G23,Enfermedades del sistema nervioso y de los órganos de los sentidos  
426,G24,Enfermedades del sistema nervioso y de los órganos de los sentidos  
427,G25,Enfermedades del sistema nervioso y de los órganos de los sentidos  
428,G30,Enfermedades del sistema nervioso y de los órganos de los sentidos  
429,G31,Enfermedades del sistema nervioso y de los órganos de los sentidos  
430,G35,Enfermedades del sistema nervioso y de los órganos de los sentidos  
431,G36,Enfermedades del sistema nervioso y de los órganos de los sentidos  
432,G37,Enfermedades del sistema nervioso y de los órganos de los sentidos  
433,G40,Enfermedades del sistema nervioso y de los órganos de los sentidos  
434,G41,Enfermedades del sistema nervioso y de los órganos de los sentidos  
435,G43,Enfermedades del sistema nervioso y de los órganos de los sentidos  
436,G44,Enfermedades del sistema nervioso y de los órganos de los sentidos  
437,G45,Enfermedades del sistema nervioso y de los órganos de los sentidos  
438,G47,Enfermedades del sistema nervioso y de los órganos de los sentidos  
439,G50,Enfermedades del sistema nervioso y de los órganos de los sentidos  
440,G51,Enfermedades del sistema nervioso y de los órganos de los sentidos  
441,G52,Enfermedades del sistema nervioso y de los órganos de los sentidos  
442,G54,Enfermedades del sistema nervioso y de los órganos de los sentidos  
443,G56,Enfermedades del sistema nervioso y de los órganos de los sentidos  
444,G57,Enfermedades del sistema nervioso y de los órganos de los sentidos  
445,G58,Enfermedades del sistema nervioso y de los órganos de los sentidos  
446,G60,Enfermedades del sistema nervioso y de los órganos de los sentidos  
447,G61,Enfermedades del sistema nervioso y de los órganos de los sentidos  
448,G62,Enfermedades del sistema nervioso y de los órganos de los sentidos  
449,G64,Enfermedades del sistema nervioso y de los órganos de los sentidos  
450,G70,Enfermedades del sistema nervioso y de los órganos de los sentidos  
451,G71,Enfermedades del sistema nervioso y de los órganos de los sentidos  
452,G72,Enfermedades del sistema nervioso y de los órganos de los sentidos  
453,G80,Enfermedades del sistema nervioso y de los órganos de los sentidos  
454,G81,Enfermedades del sistema nervioso y de los órganos de los sentidos  
455,G82,Enfermedades del sistema nervioso y de los órganos de los sentidos  
456,G83,Enfermedades del sistema nervioso y de los órganos de los sentidos  
457,G90,Enfermedades del sistema nervioso y de los órganos de los sentidos  
458,G91,Enfermedades del sistema nervioso y de los órganos de los sentidos  
459,G92,Enfermedades del sistema nervioso y de los órganos de los sentidos  
460,G93,Enfermedades del sistema nervioso y de los órganos de los sentidos  
461,G95,Enfermedades del sistema nervioso y de los órganos de los sentidos  
462,G96,Enfermedades del sistema nervioso y de los órganos de los sentidos  
463,G98,Enfermedades del sistema nervioso y de los órganos de los sentidos  
464,H04,Enfermedades del sistema nervioso y de los órganos de los sentidos  
465,H05,Enfermedades del sistema nervioso y de los órganos de los sentidos  
466,H11,Enfermedades del sistema nervioso y de los órganos de los sentidos  
467,H15,Enfermedades del sistema nervioso y de los órganos de los sentidos  
468,H16,Enfermedades del sistema nervioso y de los órganos de los sentidos  
469,H18,Enfermedades del sistema nervioso y de los órganos de los sentidos  
470,H20,Enfermedades del sistema nervioso y de los órganos de los sentidos  
471,H31,Enfermedades del sistema nervioso y de los órganos de los sentidos  
472,H44,Enfermedades del sistema nervioso y de los órganos de los sentidos  
473,H49,Enfermedades del sistema nervioso y de los órganos de los sentidos  
474,H60,Enfermedades del sistema nervioso y de los órganos de los sentidos  
475,H65,Enfermedades del sistema nervioso y de los órganos de los sentidos  
476,H66,Enfermedades del sistema nervioso y de los órganos de los sentidos  
477,H70,Enfermedades del sistema nervioso y de los órganos de los sentidos  
478,H72,Enfermedades del sistema nervioso y de los órganos de los sentidos  
479,H81,Enfermedades del sistema nervioso y de los órganos de los sentidos  
480,I00,Enfermedades del aparato circulatorio
481,I01,Enfermedades del aparato circulatorio
482,I02,Enfermedades del aparato circulatorio
483,I05,Enfermedades del aparato circulatorio
484,I06,Enfermedades del aparato circulatorio
485,I07,Enfermedades del aparato circulatorio
486,I08,Enfermedades del aparato circulatorio
487,I09,Enfermedades del aparato circulatorio
488,I10,Enfermedades del aparato circulatorio
489,I11,Enfermedades del aparato circulatorio
490,I12,Enfermedades del aparato circulatorio
491,I13,Enfermedades del aparato circulatorio
492,I15,Enfermedades del aparato circulatorio
493,I20,Enfermedades del aparato circulatorio
494,I21,Enfermedades del aparato circulatorio
495,I22,Enfermedades del aparato circulatorio
496,I24,Enfermedades del aparato circulatorio
497,I25,Enfermedades del aparato circulatorio
498,I26,Enfermedades del aparato circulatorio
499,I27,Enfermedades del aparato circulatorio
500,I28,Enfermedades del aparato circulatorio
501,I30,Enfermedades del aparato circulatorio
502,I31,Enfermedades del aparato circulatorio
503,I33,Enfermedades del aparato circulatorio
504,I34,Enfermedades del aparato circulatorio
505,I35,Enfermedades del aparato circulatorio
506,I36,Enfermedades del aparato circulatorio
507,I37,Enfermedades del aparato circulatorio
508,I38,Enfermedades del aparato circulatorio
509,I40,Enfermedades del aparato circulatorio
510,I42,Enfermedades del aparato circulatorio
511,I44,Enfermedades del aparato circulatorio
512,I45,Enfermedades del aparato circulatorio
513,I46,Enfermedades del aparato circulatorio
514,I47,Enfermedades del aparato circulatorio
515,I48,Enfermedades del aparato circulatorio
516,I49,Enfermedades del aparato circulatorio
517,I50,Enfermedades del aparato circulatorio
518,I51,Enfermedades del aparato circulatorio
519,I60,Enfermedades del aparato circulatorio
520,I61,Enfermedades del aparato circulatorio
521,I62,Enfermedades del aparato circulatorio
522,I63,Enfermedades del aparato circulatorio
523,I64,Enfermedades del aparato circulatorio
524,I67,Enfermedades del aparato circulatorio
525,I69,Enfermedades del aparato circulatorio
526,I70,Enfermedades del aparato circulatorio
527,I71,Enfermedades del aparato circulatorio
528,I72,Enfermedades del aparato circulatorio
529,I73,Enfermedades del aparato circulatorio
530,I74,Enfermedades del aparato circulatorio
531,I77,Enfermedades del aparato circulatorio
532,I78,Enfermedades del aparato circulatorio
533,I80,Enfermedades del aparato circulatorio
534,I81,Enfermedades del aparato circulatorio
535,I82,Enfermedades del aparato circulatorio
536,I83,Enfermedades del aparato circulatorio
537,I84,Enfermedades del aparato circulatorio
538,I85,Enfermedades del aparato circulatorio
539,I86,Enfermedades del aparato circulatorio
540,I87,Enfermedades del aparato circulatorio
541,I88,Enfermedades del aparato circulatorio
542,I89,Enfermedades del aparato circulatorio
543,I95,Enfermedades del aparato circulatorio
544,I99,Enfermedades del aparato circulatorio
545,J00,Enfermedades del aparato respiratorio
546,J01,Enfermedades del aparato respiratorio
547,J02,Enfermedades del aparato respiratorio
548,J03,Enfermedades del aparato respiratorio
549,J04,Enfermedades del aparato respiratorio
550,J05,Enfermedades del aparato respiratorio
551,J06,Enfermedades del aparato respiratorio
552,J09,Enfermedades del aparato respiratorio
553,J10,Enfermedades del aparato respiratorio
554,J11,Enfermedades del aparato respiratorio
555,J12,Enfermedades del aparato respiratorio
556,J13,Enfermedades del aparato respiratorio
557,J14,Enfermedades del aparato respiratorio
558,J15,Enfermedades del aparato respiratorio
559,J16,Enfermedades del aparato respiratorio
560,J18,Enfermedades del aparato respiratorio
561,J20,Enfermedades del aparato respiratorio
562,J21,Enfermedades del aparato respiratorio
563,J22,Enfermedades del aparato respiratorio
564,J30,Enfermedades del aparato respiratorio
565,J31,Enfermedades del aparato respiratorio
566,J32,Enfermedades del aparato respiratorio
567,J33,Enfermedades del aparato respiratorio
568,J34,Enfermedades del aparato respiratorio
569,J35,Enfermedades del aparato respiratorio
570,J36,Enfermedades del aparato respiratorio
571,J38,Enfermedades del aparato respiratorio
572,J39,Enfermedades del aparato respiratorio
573,J40,Enfermedades del aparato respiratorio
574,J41,Enfermedades del aparato respiratorio
575,J42,Enfermedades del aparato respiratorio
576,J43,Enfermedades del aparato respiratorio
577,J44,Enfermedades del aparato respiratorio
578,J45,Enfermedades del aparato respiratorio
579,J46,Enfermedades del aparato respiratorio
580,J47,Enfermedades del aparato respiratorio
581,J60,Enfermedades del aparato respiratorio
582,J61,Enfermedades del aparato respiratorio
583,J62,Enfermedades del aparato respiratorio
584,J63,Enfermedades del aparato respiratorio
585,J64,Enfermedades del aparato respiratorio
586,J65,Enfermedades del aparato respiratorio
587,J66,Enfermedades del aparato respiratorio
588,J67,Enfermedades del aparato respiratorio
589,J68,Enfermedades del aparato respiratorio
590,J69,Enfermedades del aparato respiratorio
591,J70,Enfermedades del aparato respiratorio
592,J80,Enfermedades del aparato respiratorio
593,J81,Enfermedades del aparato respiratorio
594,J82,Enfermedades del aparato respiratorio
595,J84,Enfermedades del aparato respiratorio
596,J85,Enfermedades del aparato respiratorio
597,J86,Enfermedades del aparato respiratorio
598,J90,Enfermedades del aparato respiratorio
599,J92,Enfermedades del aparato respiratorio
600,J93,Enfermedades del aparato respiratorio
601,J94,Enfermedades del aparato respiratorio
602,J96,Enfermedades del aparato respiratorio
